,CompanyName,CompanyNumber,names,roles
160332,ADMIRAL GROUP PLC,03849958,"['WATERS, Mark Robert:', 'BRIERLEY, Michael Charles:', 'CLARKE, Owen John:', 'COURT, Annette Elizabeth:', 'CROSSLEY, Andrew Michael:', 'GREEN, Karen Ann:', 'JONES, Geraint Allan:', 'MONDINI-DE-FOCATIIS, Milena:', 'PARK, Jean Craig:', 'RANGASWAMI, Jayaprakasa:', 'ROBERTS, Justine Juliette Alice:', 'ROUNTREE, George Manning:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
160787,ADNAMS PLC,00031114,"['HAWKINS, Naomi Jane:', 'ADNAMS, Jonathan:', 'DULIEU, Nicola Joy:', 'HANLON, Jennifer Elizabeth Imogen:', 'HEALD, Michael Guy Hilliard:', 'HESTER, Karen:', 'MCINTYRE, Bridget Fiona:', 'SHARP, Steven Michael, Dr:', 'WOOD, Andrew Charles:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
162964,ADRIATIC METALS PLC,10599833,"['CHIAPPINI, Gabriel:', 'EYRE, Geoff:', 'BARNES, Julian:', 'BATES, Sandra Naomi:', 'BILBE, Peter Ross:', 'CRONIN, Paul David:', 'KARIC, Sanela:', 'RAWLINSON, Michael Ian:']","['Secretary', 'Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
163960,ADT FIRE AND SECURITY PLC,01161045,"['AYRE, Mark:', 'EARNSHAW, James Paul:', 'ELLIS, Andrew John:', 'JONES, Richard Hilton:', 'MEAH, Moosa Farook:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
165417,ADVANCED BIOMASS SOLUTIONS PLC,10619802,"['MSP CORPORATE SERVICES LIMITED:', 'DIAMOND, Andrew Lee:', 'ROWAN, Michael:']","['Secretary', 'Director', 'Director']"
166200,ADVANCED GLOBAL WELLNESS PLC,12356400,"['LAGACE, Christine:', 'BROOKS, Sarina Lynne:', 'CHUTSKOFF, Sheila:', 'KOPKE, Darrell:']","['Secretary', 'Director', 'Director', 'Director']"
166628,ADVANCED MEDICAL SOLUTIONS GROUP PLC,02867684,"['BROMLEY, Owen John:', 'ALLEN, Peter Vance:', 'BELLAMY, Stephen Gerard:', 'COOK, Grahame David:', 'FREER, Penelope Anne:', 'JOHNSON, Edward:', 'MEREDITH, Christopher:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
166741,ADVANCED ONCOTHERAPY PLC,05564418,"['CLARKE, Henry Edmund Alexander:', 'BRADFIELD, Michael Stephen:', 'CELSING, Hans Henrik Von:', 'CROSS, Lori Jo:', 'HAN, Chunlin:', 'MYERS, Stephen, Professor:', 'PLOWMAN, Piers Nicholas, Dr:', 'SERANDOUR, Nicolas:', 'SINCLAIR, Michael Jeffrey, Dr:', 'VANNI, Enrico:', 'ZHANG, Renhua:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
169145,ADVFN PLC,02374988,"['HODGES, Michael John:', 'CHAMBERS, Clement Hadrian:', 'COLLOM, Matthew David:', 'HODGES, Michael John:', 'MULLINS, Jonathan Bruce:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
169660,ADVOCET PLC,12715215,"['UK COMPANY SECRETARIES LTD:', 'BLACKBURN, Paul:', 'CAVELEY, Maureen Anne:']","['Secretary', 'Director', 'Director']"
171300,AEGON ASSET MANAGEMENT UK PLC,SC113505,"['SYME, Gordon:', 'DANIEL, Jane Philippa Louise:', 'JONES, Stephen James Marshall:', 'KERRIGAN, Mary Teresa:', 'NIEUWEWEME, Bas Christian:', 'WATSON, David Kenneth:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
171321,AEGON UK PLC,03679296,"['MACKENZIE, James Kenneth:', 'BLOOM, Mark:', 'DALTON-BROWN, David Martin:', 'EASTWOOD, Adrian Mark:', 'EWING, James:', 'GULLIFORD, Simon James:', 'HOLLIDAY-WILLIAMS, Michael Anthony:', 'MCGEE, Stephen James:', 'MERRICK, Michael John:', 'RIDER, Matthew James:', 'ROGERS, Michael John:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
171939,AEONIC PLC,08416305,"['KAYLEY, Paul Richard:', 'KAYLEY, Paul Richard:', 'RESOCLE LIMITED:']","['Secretary', 'Director', 'Director']"
171963,AEOREMA COMMUNICATIONS PLC,04314540,"['HAFFNER, Stephen Efrem:', 'HAFFNER, Stephen Efrem:', 'HALE, Michael Bernard:', 'HARVEY, Andrew Kellet:', 'OWEN, Richard Lawrence:', 'QUAH, Steven Peter:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
173841,AESCULAP PHARMA INCUBATOR PLC,11736164,"['LEGAL SECRETARIES LTD:', 'HEGENBART, Wilhelm Heinrich Jakob, Dr.:', 'AESCULAP MANAGEMENT LTD:']","['Secretary', 'Director', 'Director']"
173932,AESSEAL MARINE PLC,05426346,"['DICKINSON, Claire Louise:', 'DICKINSON, Claire Louise:', 'WEAVER, Robert Jeffrey:']","['Secretary', 'Director', 'Director']"
173933,AESSEAL PLC,02101607,"['SHABIR, Nazim Raza:', 'CHAPPELL, John Henry:', 'DICKINSON, Claire Louise:', 'REA, Christopher John:', 'REA, Rosalie:', 'SHABIR, Nazim Raza:', 'WELSH, James Stuart:', 'WILLIAMS, Mark Owen:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
174811,AEW UK REIT PLC,09522515,"['LINK COMPANY MATTERS LIMITED:', 'BURTON, Mark Ashley:', 'HART, Katrina Harriet:', 'SANDHU, Bimaljit Singh:']","['Secretary', 'Director', 'Director', 'Director']"
175068,AF PLC,02683504,"['RATCLIFFE, Matthew:', 'AUSTIN, Neil:', 'PELHAM, Hugh Marcus:', 'WHITELEY, Lloyd Leslie Russell:']","['Secretary', 'Director', 'Director', 'Director']"
175456,AFC ENERGY PLC,05668788,"['LEWIS, Graeme Robert:', 'AGNEW, Gerald Daniel, Dr:', 'BOND, Adam Steven:', 'GIBSON, James Hay:', 'LEWIS, Graeme:', 'MANGION, Joseph Bernard:', 'RENNOCKS, John Leonard:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
175570,AFCW PLC,04764827,"['CHARLES, William David:', 'BUCKLEY, Michael Andrew:', 'KITCHER, Hannah Elizabeth:', 'LEEK, Edward Jonathan Salter:', 'LONSDALE, Elizabeth Jane:', 'MCNAY, Iain Ronald:', 'PALMER, Joseph:', 'TALBOT, Charles Christopher Stephen:', 'WIGGINS, Xavier Charles Claude:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
175702,AFEX MARKETS PLC,07061516,"['THROGMORTON SECRETARIES LLP:', 'MITCHELL, Wayne Steven:', 'VLIETSTRA, Jan:', 'WINNEY, David Denison:']","['Secretary', 'Director', 'Director', 'Director']"
175823,AFFECTIVE SYSTEMS PLC,09170061,"['NATH, Shachindra:', 'BOVER, Maiol Baraut:', 'NATH, Shachindra:', 'NATH, Yatindra:']","['Secretary', 'Director', 'Director', 'Director']"
176364,AFFINITY SUTTON CAPITAL MARKETS PLC,06678086,"['HYDE, Louise:', 'BARGHOLZ, Jack:', 'HATTERSLEY, Mark:']","['Secretary', 'Director', 'Director']"
176398,AFFINITY WATER FINANCE (2004) PLC,05139236,"['KAUSHAL, Sunita:', 'KORPANCOVA, Jaroslava:', 'LEDGER, Stuart Neil:', 'ROPER, Anthony Charles:', 'ROSHIER, Angela Louise:', 'WALSH, Pauline Mary:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
176399,AFFINITY WATER FINANCE PLC,11674789,"['KAUSHAL, Sunita:', 'KORPANCOVA, Jaroslava:', 'LEDGER, Stuart Neil:', 'ROPER, Anthony Charles:', 'ROSHIER, Angela Louise:', 'WALSH, Pauline Mary:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
176870,AFFORDABLE HOUSING FINANCE PLC,08434613,"['APTHORPE, Catherine Jane:', 'BURKE, Colin John:', 'BLUNDEN, George Patrick:', 'BOTTLES, Scott Lee:', 'BURKE, Colin John:', 'EDGE, Fenella Jane:', 'IMPEY, Peter Henry:', 'KING, Anthony Neil:', 'MONTAGUE, David Frederick:', 'PAYNE, Gillian Caroline Sarah:', 'PERRY, William Richard:', 'SMITH, Shirley Diana:', 'THOMAS, William Guy:', 'WILLIAMSON, John Piers:', 'WRIGHT, Stephen Thomas:']","['Secretary', 'Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
177284,AFH FINANCIAL GROUP PLC,07638831,"['BROWN, Anne-Marie:', 'BROAD, Austin David:', 'CHAMBERS, Mark Lincoln:', 'HUDSON, Alan:', 'LARVIN, Alexis:', 'LEWIS, Susan:', 'WHEATLEY, John Stefan:', 'WRIGHT, Paul Keith:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
177911,AFORTI PLC,12821204,"['SPEDDING, Keith:', 'KRÓLIKOWSKI, Piotr Jacek:', 'SZYTKO, Maciej:']","['Secretary', 'Director', 'Director']"
178319,AFRICA GROWING PLC,09106382,"['MACLAY MURRAY & SPENS LLP:', 'THOMSON, Victor Edward:', 'WALKER, Gary Robert:']","['Secretary', 'Director', 'Director']"
178831,AFRICAN LION GOLD PLC,13004051,"['PRISM COSEC LIMITED:', 'JORDAAN, Hendrik Francois:', 'RICHARDS, William Philip Seymour:', 'VAN WYK, Jacobus Strydom:']","['Secretary', 'Director', 'Director', 'Director']"
179609,AFROHAWK ENERGY PLC,08389251,"['@UKPLC CLIENT SECRETARY LTD:', 'HEUGH, John Phillip:', 'TRACHSEL, Martin Walter:']","['Secretary', 'Director', 'Director']"
183987,AGGREGATED MICRO POWER INFRASTRUCTURE 2 PLC,10360953,"['BRUCE, James:', 'BURRELL, Richard Carey Mathieson:', 'TARRY, Mark:']","['Secretary', 'Director', 'Director']"
184004,AGGREGATOR OF LOANS BACKED BY ASSETS 2015-1 PLC,09455280,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'ABRAHAMS, Susan Iris:', 'INTERTRUST DIRECTORS 1 LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
184005,AGGREGATOR VEHICLE PLC,09168021,"['WOODS, Amanda Elizabeth:', 'ANWER, Muhammad Ahmed:', 'FROST, Giles James:', 'GREGORY, Michael John:', 'UPPAL, Jasvinder Kaur:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
184022,AGGREKO PLC,SC177553,"['THOMSON, Simon David:', 'BREWER, Nicola Mary, Dr Dame:', 'CLARE, Mark Sydney:', 'DREWETT, Heath Stewart:', 'HANNA, Kenneth George:', 'JEREMIAH, Barbara Susanne:', 'KRUEGER, Uwe, Prof. Dr. Dr. H.C.:', 'KUIJLAARS, Sarah Mary:', 'MARCHANT, Ian Derek:', 'ROBERTS, Miles William:', 'WESTON, Christopher Phillip Anthony:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
187440,AGRICULTURAL MORTGAGES PLC,12744050,"['BANKS, Matthew:', 'BANKS, Matthew John:', 'BOURN, Robert Edward:']","['Secretary', 'Director', 'Director']"
190195,AHLI UNITED BANK (UK) PLC,00877859,"['JOYCE, Nicholas:', 'AL-SHAMALI, Jassem Haider Ali Mohammed:', 'ALOTHMAN, Meshal:', 'EL-LABBAN, Adel Mohamed Abdel Shafe:', 'GALE, Keith Henry:', 'HODGKINSON, David Howard:', 'HUSSEY, Stephen James:', 'NAJIBI, Khalid Mohamed Yusuf:', 'STEEL, James Thomas Jordan:', 'TAMIM, Sami Baha Eddine:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
191317,AI (BULLERS) PLC,00075787,"['MCGURK, David:']",['Secretary']
191875,AIB CAPITAL MARKETS PLC,FC008030,"['MCHUGH, Kevin:', 'BARRY, Thomas France:', 'CONWAY, John:', 'DOHERTY, Colm:', ""O'CONNOR, Joseph Michael:"", ""O'DONNELL, John:"", ""O'NEILL, Ronan Gerard:"", 'OHOGARTAIGH, Maeliosa:', 'WIER, Thomas:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
191893,AIB GROUP (UK) P.L.C.,NI018800,"['HALLISSEY, Elizabeth Anne:', 'BRYCE, Cathy Ann:', 'BUCKLAND, Graham Leonard Arthur:', 'DUNLEY-OWEN, Tracy:', 'FOLEY, Thomas Joseph:', 'HORNER, Paul:', 'MALTON, Shelley Joanne:', 'MULHALL, Robert Damien:', 'PERKIN, Roger Kitson:', 'SPRATT, Peter Norman:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
194298,AINSFIELD PLC,08035180,"['BARBER ACIS, Rosemary:', 'HOLDEN, Patrick Brian:']","['Secretary', 'Director']"
195342,AIR MALTA P.L.C.,FC008076,"['BORG, Andre, Dr.:', 'BORG, Joseph:', 'CASSAR, Francis:', 'FENECH PACE, Eric:', 'GASAN, Joseph:', 'GRECH, Christopher:', 'MICALLEF, George:', 'MICALLEF, Maria:', 'SPITERI, Norman:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
195423,AIR PARTNER PLC,00980675,"['BANKS, Judith:', 'BRIFFA, Mark Andrew:', 'DOLLMAN, Paul Bernard:', 'ESTELL, Joanne Elizabeth:', 'WARNER, Edmond William:', 'WILLS, Amanda Elizabeth:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
196689,AIREA PLC,00526657,"['STEVENSON, Paul:', 'RYLANCE, Neil:', 'STEVENSON, Paul:', 'TOOGOOD, Martin:']","['Secretary', 'Director', 'Director', 'Director']"
197447,AIRNOW PLC,10706264,"['D&A SECRETARIAL SERVICES LIMITED:', 'BREAUX, Inman:', 'CARVER, Clive Nathan:', 'MARCELLA, Philip Paul:', 'WU, Paul:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
198118,AIRSPRUNG GROUP PLC,01277785,"['DALLAWAY, Tean Elizabeth:', 'DALLAWAY, Tean Elizabeth:', 'LISANTI, Antonio:', 'PERLOFF, Andrew Stewart:', 'PETERS, Simon Jeffrey:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
198269,AIRTEL AFRICA PLC,11462215,"[""O'HARA, Simon Andrew:"", 'AJUMOGOBIA, Awuneba Sotonye:', 'BAILLIE, Douglas Anderson:', 'BAYER ROSMARIN, Kelly:', 'DANILOVICH, John Joseph:', 'GREEN, Andrew James:', 'GUPTA, Akhil Kumar:', 'MANDAVA, Raghunath Venkateswarlu:', 'MITTAL, Shravin Bharti:', 'MITTAL, Sunil Bharti:', 'POUTIAINEN, Liisa Annika:', 'RAJAGOPAL, Ravi:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
199688,AJ BELL PLC,04503206,"['ROBINSON, Christopher Bruce:', 'BELL, Andrew James:', 'CARSTENSEN, Laura Martine:', 'FLANAGAN, Eamonn Michael:', 'PLATTS, Leslie Michael:', 'SUMMERSGILL, Michael Thomas:', 'TURNER, Simon:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
206486,"AKARI THERAPEUTICS, PLC",05252842,"['PRISM COSEC LIMITED:', 'BYRNE, David Anthony:', 'FELDSCHREIBER, Peter, Dr:', 'GRISSINGER, Michael:', 'HILL, James Ferguson, Dr:', 'PRUDO-CHLEBOSZ, Raymond, Dr:', 'RICHARDSON, Clive Stuart:', 'UNGAR, Stuart Charles, Dr:', 'WILLIAMS, Donald Allen:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
208132,AKKSOLA ENERGY - INVEST PLC,11968352,"['LEGAL SECRETARIES LTD:', 'SCHROEDER, Norbert Tobias Heinrich:', 'AKKSOLA ENERGY - NORTH LTD:']","['Secretary', 'Director', 'Director']"
211357,AL RAYAN BANK PLC,04483430,"['AZAM, Mohammed Al:', 'ABDISHEIKH, Ahmed Swaleh:', 'BRADLEY, Caroline Jane:', 'BROOKES, Malcolm James:', 'HORTON, Peter:', 'KERLE, Kathryn:', 'MUSTAFAWI, Adel Mohammed Tayyeb:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
211632,AL WASEELAH PLC,10888992,"['TRUVA CORPORATE ADMINISTRATION LIMITED:', 'ASARIA, Mohamed Iqbal, Professor:', 'DAVIES, David Raymond:', 'HAINES, Kevin Richard:', 'IQBAL, Faisal:', 'JOHNSON, Roger Daniel Lunn:', 'KHAN, Muhammad Asim:', 'SIDDIQUI, Saud Hafeez:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
215819,ALBA 2005-1 PLC,05532547,"['LAW DEBENTURE CORPORATE SERVICES LTD:', 'FILER, Mark Howard:', 'L.D.C. SECURITISATION DIRECTOR NO. 3 LIMITED:', 'L.D.C. SECURITISATION DIRECTOR NO. 4 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
215821,ALBA 2006-2 PLC,05818994,"['LAW DEBENTURE CORPORATE SERVICES LTD:', 'FILER, Mark Howard:', 'L.D.C. SECURITISATION DIRECTOR NO. 3 LIMITED:', 'L.D.C. SECURITISATION DIRECTOR NO. 4 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
215822,ALBA 2007-1 PLC,05965813,"['LAW DEBENTURE CORPORATE SERVICES LTD:', 'FILER, Mark Howard:', 'LDC SECURITISATION DIRECTOR NO 3 LIMITED:', 'LDC SECURITISATION DIRECTOR NO 4 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
215867,ALBA FINANCE HOLDING PLC,07468001,"['HACKWOOD SECRETARIES LIMITED:', 'SCHWEITZER, Axel, Dr:', 'SCHWEITZER, Eric, Dr:']","['Secretary', 'Director', 'Director']"
215880,ALBA GROUP EUROPE PLC,07468014,"['HACKWOOD SECRETARIES LIMITED:', 'SCHWEITZER, Axel, Dr:', 'SCHWEITZER, Eric, Dr:']","['Secretary', 'Director', 'Director']"
215909,ALBA MINERAL RESOURCES PLC,05285814,"['HARBER, Benjamin:', 'BRUNNER, Lars:', 'FRANGESKIDES, George:', 'HENSON, Elizabeth Caroline:', 'NOTT, Michael Charles:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
215955,ALBA TREES PLC,02188633,"['HENDRY, Stuart James Falconer:', 'ALEXANDER, Jonathan Scott:', 'COLCHESTER, James Edward:', 'HYDE, Christopher Matthew:']","['Secretary', 'Director', 'Director', 'Director']"
216111,ALBAN OIL PLC,05423631,"['GREENWOOD, Mark Edmund:', 'DE SALIS, Gavin Richard:', 'ELIAS, Robert Willoughby:']","['Secretary', 'Director', 'Director']"
217854,ALBION COMPUTERS PLC,02043116,"['WHITTON, Paul Graham:', 'BEEBY, Keith:', 'COLE, Howard Neil:', 'MAYES, Richard Peter:']","['Secretary', 'Director', 'Director', 'Director']"
217897,ALBION DEVELOPMENT VCT PLC,03654040,"['ALBION CAPITAL GROUP LLP:', 'GOLEBY, Lyn Mary:', 'LARKIN, Benjamin:', ""O'SHAUGHNESSY, James Richard, Lord:"", 'REEVE, Patrick Harold:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
217930,ALBION ENTERPRISE VCT PLC,05990732,"['ALBION CAPITAL GROUP LLP:', 'BRUCE, Janet Patricia, Lady Balfour Of Burleigh:', 'BURROWS, Christopher Philip:', 'PACKE, Maxwell Gordon:', 'REEVE, Patrick Harold:', 'WHITLOCK, Rhodri Ryland:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
218157,ALBION NO.4 PLC,12158373,"['MAPLES FIDUCIARY SERVICES (UK) LIMITED:', 'JONES, Jennifer Lynn:', 'MAPLESFS UK CORPORATE DIRECTOR NO.1 LIMITED:', 'MAPLESFS UK CORPORATE DIRECTOR NO.2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
218276,ALBION STONE PLC,01767530,"['FORSTER COLEMAN, Janice:', 'POULTNEY, Michael John:', 'WHITE, Daniel James:', 'WORRALL, Peter John:']","['Secretary', 'Director', 'Director', 'Director']"
218302,ALBION TECHNOLOGY & GENERAL VCT PLC,04114310,"['ALBION CAPITAL GROUP LLP:', 'ARCHIBALD, Robin:', 'CORDEIRO, Mary Anne:', 'CROSS, Neil Earl, Dr:', 'PAYN, Patricia Margaret:', 'REES-MOGG, Modwenna Vivien:', 'REEVE, Patrick Harold:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
218333,ALBION VENTURE CAPITAL TRUST PLC,03142609,"['ALBION CAPITAL GROUP LLP:', 'BERRESFORD, Dorothy Ann:', 'GLOVER, Richard Gordon Finlay:', 'KERR, John Michael Bryan Leslie:', 'WILSON, Richard Charles:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
218444,ALBON ENGINEERING AND MANUFACTURING PLC,01113447,"['ALBON, Brenda Rose:', 'ALBON, Brenda Rose:', 'ALBON, Mark James:', 'DAWSON, Stephen William:']","['Secretary', 'Director', 'Director', 'Director']"
219225,ALCHEM PLC,NI016428,"['MOYNAGH, Damien:', 'MCALEESE, Grainne:', 'TALLON, Louise:']","['Secretary', 'Director', 'Director']"
221018,ALDERLEY PLC,02378070,"['SLATTER, Philippa Ann:', 'ELCOATE, Colin David:', 'MANSFIELD, Anthony Clifford:', 'ROSE, Lucinda Mary:', 'SLATTER, Philippa Ann:', 'WILSON, Alan James Stark:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
221106,ALDERMORE BANK PLC,00947662,"['BODELL, Kerryn Lynn:', 'BANKS, Richard Lee:', 'BUTLER, Patrick Noel:', 'CORDELL, Mary Claire:', 'CROWLEY, Desmond Edward:', 'GRAY, Danuta:', 'HITCHINS, John Charles Fortescue:', 'KELLAN, Hetash Surendrakumar:', 'MONKS, Phillip:', 'PULLINGER, Alan Patrick:', 'TURNER, Catherine Lucy:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
221107,ALDERMORE GROUP PLC,06764335,"['BODELL, Kerryn Lynn:', 'BANKS, Richard Lee:', 'BUTLER, Patrick Noel:', 'CORDELL, Mary Claire:', 'CROWLEY, Desmond Edward:', 'GRAY, Danuta:', 'HITCHINS, John Charles Fortescue:', 'KELLAN, Hetash Surendrakumar:', 'MONKS, David Phillip:', 'PULLINGER, Alan Patrick:', 'TURNER, Catherine Lucy:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
222890,ALEPH FINANCE GROUP PLC,06469680,"['IVANOVA, Gergana Atanasova:', 'DANIELETTO, Enrico:', 'GRANDINETTI, Mauro:', 'SNEDDEN, Ralph Cameron:', 'SPRIZZI, Andrea:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
225678,ALEXANDER KHAN PLC,12564519,"['A PRIVATE EQUITY LIMITED:', 'ROTHSCHILD, David:', 'A PRIVATE EQUITY LIMITED:']","['Secretary', 'Director', 'Director']"
227847,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,10713517,"['CAULFIELD, Charlotte:', 'BREACH, Stephen Derrick:', 'CHAMBERLAIN, Adrian:', 'DE METZ, Charlotte Marie:', 'DENTON, Andrew Warren:', 'MAGRATH, Duncan Jonathan:', 'PAGE, Andrew Neville:', 'SULLIVAN, Christopher Paul:', 'WHITE, Matthew Paul:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
228773,ALFRED FRANKS & BARTLETT PLC,02937270,"['EDWARDS, Sandra Denise:', 'BIRCH, Joanne Marie:', 'COWAN, Lawrence Murray:', 'EDWARDS, Sandra Denise:', 'MALCOLM, Lindsay Mary:', 'NATHAN, Murray Philip:', 'REID, Clive Nicholas:', 'REID, Luke James:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
229270,ALGARVE PURE INDUSTRIES PLC,12372280,"['JEFFERIES, Karl Waynewright:', 'JEFFERIES, Karl Waynewright:', 'WOOD, Jeffrey David:']","['Secretary', 'Director', 'Director']"
230616,ALIA-THE ROYAL JORDANIAN AIRLINES-PLC (ROYAL JORDANIAN),FC005902,"['MARAGHA, Mohammed Adel Atieh:', 'MARAGHA, Mohammad Adel Atieh:', 'NOSAIRAT, Saud:']","['Secretary', 'Director', 'Director']"
231319,ALICOIN INVEST PLC,11788610,"['MARGARETTA CORPORATE SECRETARIES LTD:', 'KRUGER, Sam, Dr:', 'RICHMAN, James:']","['Secretary', 'Director', 'Director']"
232186,ALINA HOLDINGS PLC,05304743,"['HEANEY, William Alexander:', 'EDWARDS, Gareth Maitland:', 'SOUKUP, Charles Duncan:']","['Secretary', 'Director', 'Director']"
232471,ALIQUANTUM ENERGY PLC,08747430,"['SOENNECKEN, Sven:', 'CUTTS, John William:', 'FLOREN, Hans-Peter:', 'SCHAFER, Erik Karl:', 'SOENNECKEN, Sven:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
234094,ALKEMY CAPITAL INVESTMENTS PLC,13149164,"['QUINN, Sam:', 'ATHERLEY, Paul Campbell:', 'QUINN, Sam Delevan:']","['Secretary', 'Director', 'Director']"
